time,open,high,low,close,tick_volume,spread,real_volume
2022-09-06 04:00:00,0.68299,0.68321,0.68215,0.68278,5767,0,0
2022-09-06 05:00:00,0.68278,0.68281,0.68178,0.68211,5180,0,0
2022-09-06 06:00:00,0.68213,0.68217,0.6797,0.67992,3679,0,0
2022-09-06 07:00:00,0.67992,0.68117,0.67892,0.68004,5941,0,0
2022-09-06 08:00:00,0.68003,0.68137,0.67969,0.68009,5140,0,0
2022-09-06 09:00:00,0.68007,0.68016,0.67833,0.67884,7166,0,0
2022-09-06 10:00:00,0.67884,0.67931,0.67772,0.6791,8721,0,0
2022-09-06 11:00:00,0.67911,0.67911,0.67609,0.67705,6036,0,0
2022-09-06 12:00:00,0.67705,0.67791,0.67616,0.67787,4624,0,0
2022-09-06 13:00:00,0.67787,0.67866,0.6777,0.67787,3413,0,0
2022-09-06 14:00:00,0.67785,0.67831,0.67665,0.67733,4161,0,0
2022-09-06 15:00:00,0.67735,0.67772,0.67608,0.67608,5360,0,0
2022-09-06 16:00:00,0.67609,0.67671,0.675,0.67514,8872,0,0
2022-09-06 17:00:00,0.67501,0.67586,0.67308,0.67471,13102,0,0
2022-09-06 18:00:00,0.67471,0.67625,0.67386,0.67489,7583,0,0
2022-09-06 19:00:00,0.67489,0.67506,0.67354,0.67406,4772,0,0
2022-09-06 20:00:00,0.67405,0.6741,0.67278,0.67316,3124,0,0
2022-09-06 21:00:00,0.67316,0.67386,0.67303,0.67309,4722,0,0
2022-09-06 22:00:00,0.67309,0.67375,0.67301,0.67331,4068,0,0
2022-09-06 23:00:00,0.67331,0.67364,0.67287,0.67357,861,1,0
2022-09-07 00:00:00,0.67324,0.67374,0.67309,0.67356,216,3,0
2022-09-07 01:00:00,0.67356,0.67375,0.67286,0.67303,1181,0,0
2022-09-07 02:00:00,0.67297,0.67344,0.6725,0.67276,2765,0,0
2022-09-07 03:00:00,0.67279,0.67326,0.67103,0.67148,6986,0,0
2022-09-07 04:00:00,0.67148,0.67173,0.67048,0.67156,6506,0,0
2022-09-07 05:00:00,0.67156,0.67236,0.67039,0.6709,5657,0,0
2022-09-07 06:00:00,0.6709,0.67131,0.6699,0.67059,5451,0,0
2022-09-07 07:00:00,0.67058,0.67198,0.67008,0.67148,5574,0,0
2022-09-07 08:00:00,0.67151,0.67214,0.6711,0.67127,3068,0,0
2022-09-07 09:00:00,0.6713,0.67299,0.67052,0.67252,5673,0,0
2022-09-07 10:00:00,0.67252,0.67332,0.67071,0.67311,7484,0,0
2022-09-07 11:00:00,0.67311,0.67341,0.67154,0.67251,4882,0,0
2022-09-07 12:00:00,0.67251,0.67343,0.67189,0.67342,4896,0,0
2022-09-07 13:00:00,0.67342,0.67371,0.67191,0.67212,4449,0,0
2022-09-07 14:00:00,0.67211,0.67246,0.67013,0.67018,6329,0,0
2022-09-07 15:00:00,0.6702,0.67097,0.66988,0.67084,4964,0,0
2022-09-07 16:00:00,0.67083,0.67235,0.6703,0.67106,5463,0,0
2022-09-07 17:00:00,0.67104,0.67309,0.67031,0.67224,8481,0,0
2022-09-07 18:00:00,0.67225,0.67336,0.67191,0.67285,5008,0,0
2022-09-07 19:00:00,0.67285,0.67412,0.67234,0.67389,3781,0,0
2022-09-07 20:00:00,0.67387,0.67653,0.67385,0.67617,3657,0,0
2022-09-07 21:00:00,0.67617,0.67641,0.67511,0.67518,2425,0,0
2022-09-07 22:00:00,0.67517,0.67685,0.67508,0.67676,2002,0,0
2022-09-07 23:00:00,0.67675,0.67696,0.67631,0.67679,816,0,0
2022-09-08 00:00:00,0.67682,0.67696,0.67656,0.67693,188,3,0
2022-09-08 01:00:00,0.67689,0.67738,0.67626,0.6765,1819,0,0
2022-09-08 02:00:00,0.6765,0.6766,0.67505,0.67523,2856,0,0
2022-09-08 03:00:00,0.67525,0.6756,0.674,0.67405,5773,0,0
2022-09-08 04:00:00,0.67405,0.67512,0.67342,0.67352,7337,0,0
2022-09-08 05:00:00,0.67352,0.67484,0.67334,0.67471,4086,0,0
2022-09-08 06:00:00,0.67468,0.67474,0.67129,0.67202,8361,0,0
2022-09-08 07:00:00,0.67202,0.67355,0.6719,0.67323,5439,0,0
2022-09-08 08:00:00,0.67322,0.67468,0.673,0.67434,5242,0,0
2022-09-08 09:00:00,0.67435,0.67583,0.67367,0.67553,7178,0,0
2022-09-08 10:00:00,0.67553,0.67646,0.67308,0.67326,6095,0,0
2022-09-08 11:00:00,0.67326,0.67383,0.67221,0.67325,4691,0,0
2022-09-08 12:00:00,0.67324,0.67336,0.67225,0.67276,3356,0,0
2022-09-08 13:00:00,0.67277,0.67469,0.67213,0.67425,3751,0,0
2022-09-08 14:00:00,0.67425,0.67591,0.67405,0.67537,6158,0,0
2022-09-08 15:00:00,0.67538,0.67578,0.67292,0.67325,14430,0,0
2022-09-08 16:00:00,0.67324,0.67411,0.6718,0.67298,18766,0,0
2022-09-08 17:00:00,0.67298,0.67399,0.67172,0.67383,12300,0,0
2022-09-08 18:00:00,0.67383,0.67553,0.67346,0.67378,6040,0,0
2022-09-08 19:00:00,0.67378,0.67414,0.67204,0.67342,7477,0,0
2022-09-08 20:00:00,0.67342,0.67613,0.6732,0.67514,5023,0,0
2022-09-08 21:00:00,0.67514,0.67578,0.67457,0.67459,4151,0,0
2022-09-08 22:00:00,0.6746,0.67525,0.67443,0.67494,3047,2,0
2022-09-08 23:00:00,0.67496,0.67516,0.67465,0.67507,829,0,0
2022-09-09 00:00:00,0.67498,0.67515,0.67449,0.67476,203,7,0
2022-09-09 01:00:00,0.6748,0.67572,0.67479,0.67557,1694,0,0
2022-09-09 02:00:00,0.67557,0.6766,0.67552,0.67645,1209,0,0
2022-09-09 03:00:00,0.67644,0.67928,0.67621,0.67842,4280,0,0
2022-09-09 04:00:00,0.67842,0.67938,0.67822,0.679,5524,0,0
2022-09-09 05:00:00,0.67901,0.68139,0.67897,0.68127,3658,0,0
2022-09-09 06:00:00,0.68127,0.68258,0.68097,0.68232,4564,0,0
2022-09-09 07:00:00,0.68232,0.68342,0.68193,0.68321,4663,0,0
2022-09-09 08:00:00,0.6832,0.68384,0.68257,0.68296,4875,0,0
2022-09-09 09:00:00,0.68297,0.684,0.6822,0.68392,5420,0,0
2022-09-09 10:00:00,0.68393,0.68649,0.68374,0.68607,7013,0,0
2022-09-09 11:00:00,0.68607,0.68771,0.6854,0.68733,5702,0,0
2022-09-09 12:00:00,0.68733,0.68736,0.68543,0.68617,5709,0,0
2022-09-09 13:00:00,0.68617,0.68694,0.68555,0.68561,4439,0,0
2022-09-09 14:00:00,0.68563,0.68568,0.68277,0.68296,5973,0,0
2022-09-09 15:00:00,0.68296,0.68482,0.68231,0.68442,6401,0,0
2022-09-09 16:00:00,0.68441,0.685,0.68322,0.68388,7792,0,0
2022-09-09 17:00:00,0.68388,0.68551,0.6833,0.68393,8148,0,0
2022-09-09 18:00:00,0.68391,0.68466,0.68315,0.68454,4967,0,0
2022-09-09 19:00:00,0.68454,0.68485,0.68359,0.68481,3399,0,0
2022-09-09 20:00:00,0.68482,0.68483,0.68388,0.68403,1624,1,0
